,Latitude,Longitude,Stop Name,Stop Status
0,40.665457,-73.950915,NOSTRAND AV/MONTGOMERY ST,at stop
1,40.680427,-73.950224,FULTON ST/NOSTRAND AV,at stop
2,40.689307,-73.955094,BEDFORD AV/LAFAYETTE AV,at stop
3,40.696928,-73.952869,NOSTRAND AV/PARK AV,at stop
4,40.634161,-73.94779,NOSTRAND AV/GLENWOOD RD,at stop
5,40.602436,-73.942273,NOSTRAND AV/AV T,at stop
6,40.655134,-73.950035,NOSTRAND AV/CLARKSON AV,at stop
7,40.621721,-73.945915,NOSTRAND AV/AV L,at stop
8,40.634332,-73.947808,NOSTRAND AV/GLENWOOD RD,at stop
9,40.657073,-73.947332,NEW YORK AV/WINTHROP ST,approaching
10,40.688831,-73.955001,BEDFORD AV/LAFAYETTE AV,approaching
11,40.664918,-73.94818,NEW YORK AV/MONTGOMERY ST,approaching
12,40.638315,-73.945323,NEW YORK AV/FOSTER AV,approaching
13,40.671719,-73.950327,NOSTRAND AV/ST JOHNS PL,approaching
14,40.622531,-73.946069,NOSTRAND AV/AV L,approaching
15,40.62525,-73.946585,NOSTRAND AV/AV K,approaching
16,40.607852,-73.943295,NOSTRAND AV/GERRITSEN AV,approaching
17,40.633212,-73.947688,NOSTRAND AV/AV H,< 1 stop away
18,40.597649,-73.941354,NOSTRAND AV/AV W,< 1 stop away
19,40.639202,-73.945418,NEW YORK AV/AV D,< 1 stop away
20,40.69894,-73.953275,NOSTRAND AV/PARK AV,< 1 stop away
21,40.682195,-73.949941,NOSTRAND AV/FULTON ST,< 1 stop away
22,40.674332,-73.950079,NOSTRAND AV/ST JOHNS PL,< 1 stop away
